year,id,age,sex,race,degree,educ,region,marital,childs,wrkstat,hrs1,income_2000dollars,class,party,political_views,pres20,gunlaw,cappun,cannabis_legal,happy,health,life,trust,satfin,mental_health_bad_days,relig,attend,god,postlife,bible
2022,1512,47,female,black,high school,12,south,never married,1,working part time,30,4114.5,upper class,strong democrat,extremely liberal,biden,favor,don't know,don't know,pretty happy,excellent,exciting,can't be too careful,not satisfied at all,0,jewish,every week,no doubts,yes,word of god
2022,1513,,female,black,high school,12,south,never married,1,working full time,40,,working class,not very strong democrat,extremely liberal,biden,favor,favor,,pretty happy,fair,exciting,,pretty well satisfied,0,protestant,every week,,yes,word of god
2022,1514,35,female,white,bachelor's,16,south,married,2,working full time,50,17407.5,working class,"independent (neither, no response)","moderate, middle of the road",,favor,oppose,,very happy,excellent,exciting,,more or less satisfied,0,protestant,every week,,yes,word of god
2022,1515,56,male,white,graduate,20,south,divorced,3,retired,,15033.75,working class,other party,extremely conservative,trump,oppose,oppose,should not be legal,very happy,excellent,exciting,can't be too careful,not satisfied at all,,protestant,every week,no doubts,yes,word of god
2022,1516,52,female,white,less than high school,11,south,divorced,3,other,,,lower class,"independent (neither, no response)",conservative,,,oppose,should not be legal,pretty happy,poor,,can't be too careful,more or less satisfied,,none,never,no doubts,yes,word of god
2022,1517,26,male,other,less than high school,12,south,separated,1,"unemployed, laid off, looking for work",,,working class,"independent (neither, no response)",don't know,,,oppose,should be legal,pretty happy,fair,,depends,not satisfied at all,,protestant,about once a month,no doubts,yes,inspired word
2022,1518,70,female,black,high school,12,south,widowed,1,retired,,,middle class,not very strong democrat,"moderate, middle of the road",biden,,oppose,should not be legal,pretty happy,good,,can't be too careful,not satisfied at all,,protestant,every week,no doubts,yes,word of god
2022,1519,27,female,black,less than high school,11,south,never married,2,working part time,30,,working class,"independent, close to democrat","moderate, middle of the road",,,oppose,,pretty happy,good,,,more or less satisfied,,christian,,,,
2022,1520,80,male,other,less than high school,5,south,widowed,2,retired,,,working class,"independent, close to democrat","moderate, middle of the road",,,favor,should not be legal,not too happy,fair,,can't be too careful,not satisfied at all,,hinduism,every week,no doubts,no,inspired word
2022,1521,66,female,other,graduate,17,south,married,1,retired,,,middle class,"independent (neither, no response)",liberal,don't know,favor,favor,,very happy,good,routine,,more or less satisfied,,hinduism,several times a year,no doubts,,
2022,1522,72,female,white,high school,12,south,married,2,working part time,7,1266,middle class,strong republican,"moderate, middle of the road",trump,,favor,,very happy,good,,,not satisfied at all,0,catholic,every week,no doubts,,
2022,1523,,female,black,high school,12,south,divorced,2,working full time,45,52222.5,middle class,strong democrat,liberal,biden,,oppose,should be legal,pretty happy,excellent,,most people can be trusted,pretty well satisfied,15,none,about once or twice a year,no doubts,don't know,inspired word
2022,1524,29,male,white,high school,15,south,never married,0,"with a job, but not at work because of temporary illness, vacation, strike",,28485,middle class,other party,extremely liberal,biden,favor,oppose,,very happy,good,routine,,more or less satisfied,0,none,never,,,
2022,1525,39,female,white,bachelor's,19,south,never married,0,working full time,40,34815,middle class,not very strong democrat,slightly liberal,biden,,oppose,,pretty happy,excellent,,,more or less satisfied,10,none,never,"don't know, no way to find out",,
2022,1526,34,male,white,bachelor's,16,south,widowed,0,working full time,40,34815,middle class,strong democrat,liberal,biden,favor,oppose,,pretty happy,excellent,routine,,not satisfied at all,,none,never,,don't know,inspired word
2022,1527,39,female,white,high school,16,south,divorced,1,working full time,44,,working class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,,pretty happy,poor,routine,,not satisfied at all,,protestant,less than once a year,no doubts,,
2022,1528,27,male,white,high school,17,south,never married,0,working part time,15,20572.5,working class,"independent (neither, no response)","moderate, middle of the road",,oppose,oppose,should be legal,pretty happy,good,routine,can't be too careful,more or less satisfied,3,none,never,"don't know, no way to find out",yes,ancient book
2022,1529,50,female,white,high school,12,south,never married,1,working full time,30,28485,working class,not very strong republican,"moderate, middle of the road",trump,oppose,favor,should be legal,pretty happy,fair,dull,can't be too careful,not satisfied at all,5,protestant,about once or twice a year,no doubts,yes,inspired word
2022,1530,25,male,white,high school,12,south,never married,0,working full time,35,13451.25,middle class,"independent, close to democrat","moderate, middle of the road",biden,,oppose,should be legal,pretty happy,good,,can't be too careful,more or less satisfied,5,none,never,higher power,don't know,ancient book
2022,1531,43,male,white,associate/junior college,14,south,never married,0,working full time,40,,working class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,should be legal,pretty happy,fair,routine,can't be too careful,more or less satisfied,7,none,never,higher power,yes,inspired word
2022,1532,29,female,black,graduate,18,south,never married,0,working full time,24,34815,middle class,"independent, close to democrat",liberal,biden,favor,favor,,not too happy,good,routine,,not satisfied at all,14,none,less than once a year,,,
2022,1533,39,female,,bachelor's,16,south,never married,0,working full time,40,34815,working class,"independent, close to democrat",liberal,biden,favor,oppose,should be legal,not too happy,good,routine,can't be too careful,more or less satisfied,30,none,never,higher power,don't know,inspired word
2022,1534,29,male,other,high school,12,south,married,0,working full time,40,34815,don't know,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,should be legal,very happy,good,routine,can't be too careful,more or less satisfied,0,catholic,2-3 times a month,no doubts,yes,inspired word
2022,1535,32,male,white,high school,12,south,never married,0,working full time,40,20572.5,working class,not very strong democrat,conservative,,oppose,favor,,pretty happy,fair,exciting,,more or less satisfied,0,christian,never,,yes,ancient book
2022,1536,51,male,white,high school,12,south,never married,0,working part time,40,10286.25,working class,"independent, close to republican","moderate, middle of the road",,,favor,should be legal,not too happy,poor,,can't be too careful,not satisfied at all,0,protestant,about once a month,believe with doubts,yes,ancient book
2022,1537,39,female,white,high school,12,south,married,2,keeping house,,,working class,"independent, close to democrat","moderate, middle of the road",,favor,favor,should be legal,pretty happy,poor,routine,can't be too careful,more or less satisfied,,catholic,less than once a year,believe with doubts,yes,inspired word
2022,1538,55,male,white,high school,14,south,widowed,2,working full time,65,52222.5,working class,not very strong democrat,"moderate, middle of the road",biden,favor,favor,,pretty happy,good,routine,,more or less satisfied,0,protestant,about once or twice a year,,no,inspired word
2022,1539,32,male,black,associate/junior college,14,south,never married,5,working full time,55,20572.5,middle class,not very strong republican,slightly conservative,biden,favor,oppose,should be legal,pretty happy,fair,exciting,can't be too careful,not satisfied at all,0,muslim/islam,every week,higher power,no,ancient book
2022,1540,,female,white,bachelor's,17,south,never married,0,working part time,30,,working class,"independent (neither, no response)","moderate, middle of the road",,,don't know,should not be legal,pretty happy,good,,can't be too careful,more or less satisfied,16,none,never,no doubts,don't know,word of god
2022,1541,,female,white,high school,12,south,never married,3,working full time,40,28485,don't know,"independent (neither, no response)",slightly liberal,biden,,oppose,don't know,pretty happy,good,,can't be too careful,don't know,0,catholic,never,no doubts,yes,word of god
2022,1542,41,female,black,high school,12,south,never married,3,working full time,48,5697,working class,"independent (neither, no response)","moderate, middle of the road",biden,,oppose,should be legal,pretty happy,good,,can't be too careful,not satisfied at all,15,none,never,no doubts,yes,word of god
2022,1543,34,male,white,bachelor's,18,south,never married,0,working full time,48,42727.5,middle class,other party,slightly liberal,,favor,oppose,,pretty happy,good,routine,,more or less satisfied,0,none,less than once a year,,,
2022,1544,,male,black,high school,13,south,divorced,1,working full time,55,13451.25,middle class,"independent (neither, no response)","moderate, middle of the road",biden,don't know,don't know,,pretty happy,good,routine,,more or less satisfied,0,none,2-3 times a month,,yes,word of god
2022,1545,48,female,white,bachelor's,16,south,divorced,1,working full time,40,23737.5,working class,not very strong democrat,liberal,biden,favor,favor,should be legal,not too happy,good,routine,can't be too careful,not satisfied at all,20,none,never,higher power,no,ancient book
2022,1546,20,female,black,high school,12,south,never married,0,working full time,35,10286.25,working class,"independent, close to democrat","moderate, middle of the road",,favor,favor,should be legal,not too happy,poor,routine,most people can be trusted,more or less satisfied,10,protestant,about once or twice a year,no doubts,yes,inspired word
2022,1547,57,male,black,high school,13,south,married,3,working full time,40,88620,working class,strong democrat,conservative,biden,,oppose,should be legal,pretty happy,good,,can't be too careful,more or less satisfied,0,protestant,about once or twice a year,no doubts,yes,inspired word
2022,1548,28,male,other,high school,12,south,never married,1,"unemployed, laid off, looking for work",,42727.5,working class,"independent, close to democrat","moderate, middle of the road",,oppose,favor,,not too happy,good,exciting,,more or less satisfied,,protestant,nearly every week,no doubts,yes,word of god
2022,1549,,female,white,bachelor's,16,south,never married,0,retired,,,middle class,strong republican,slightly conservative,trump,,favor,don't know,pretty happy,fair,,depends,more or less satisfied,,catholic,every week,no doubts,yes,inspired word
2022,1550,31,female,other,associate/junior college,16,south,married,2,in school,,13451.25,working class,"independent, close to democrat",slightly liberal,,favor,oppose,,pretty happy,fair,exciting,,not satisfied at all,,protestant,less than once a year,,don't know,word of god
2022,1551,81,female,black,bachelor's,18,south,divorced,4,working full time,60,42727.5,working class,strong democrat,extremely liberal,biden,,oppose,should be legal,not too happy,good,,can't be too careful,more or less satisfied,0,none,every week,no doubts,yes,ancient book
2022,1552,53,female,black,high school,14,south,divorced,6,working full time,40,34815,working class,not very strong democrat,"moderate, middle of the road",biden,favor,oppose,,pretty happy,excellent,routine,,more or less satisfied,0,protestant,less than once a year,no doubts,,
2022,1553,40,male,black,high school,14,south,never married,0,working full time,64,34815,working class,"independent, close to democrat",slightly liberal,biden,favor,oppose,should be legal,not too happy,good,exciting,can't be too careful,not satisfied at all,0,protestant,several times a week,no doubts,yes,word of god
2022,1554,26,male,white,high school,13,south,divorced,0,working full time,40,42727.5,middle class,strong democrat,liberal,biden,,favor,should be legal,very happy,excellent,,can't be too careful,pretty well satisfied,0,none,never,"don't know, no way to find out",don't know,ancient book
2022,1555,,female,white,associate/junior college,18,south,married,2,working full time,40,63300,working class,"independent (neither, no response)",slightly liberal,,favor,favor,should be legal,very happy,good,exciting,can't be too careful,pretty well satisfied,4,catholic,nearly every week,no doubts,yes,inspired word
2022,1556,35,female,white,bachelor's,16,south,married,5,keeping house,,,middle class,not very strong democrat,slightly liberal,biden,favor,favor,,pretty happy,good,routine,,pretty well satisfied,,none,never,,,
2022,1557,50,male,white,associate/junior college,14,south,never married,1,keeping house,,,working class,strong democrat,liberal,biden,,favor,,pretty happy,fair,,,more or less satisfied,,none,never,higher power,,
2022,1558,21,female,white,associate/junior college,14,south,never married,0,working part time,25,17407.5,middle class,"independent, close to democrat",slightly liberal,biden,favor,oppose,,pretty happy,good,routine,,more or less satisfied,0,catholic,less than once a year,believe with doubts,,
2022,1559,38,male,white,high school,13,south,married,4,other,,20572.5,working class,strong republican,conservative,trump,,favor,,pretty happy,excellent,,,not satisfied at all,,catholic,about once or twice a year,"don't know, no way to find out",,
2022,1560,73,female,white,graduate,20,south,divorced,2,working part time,15,101280,middle class,not very strong democrat,slightly liberal,biden,,favor,,not too happy,fair,,,not satisfied at all,0,protestant,less than once a year,no doubts,,
2022,1561,56,female,white,high school,12,south,divorced,2,retired,,63300,middle class,not very strong republican,"moderate, middle of the road",,,favor,,very happy,poor,,,not satisfied at all,,none,never,don't believe,,
2022,1562,38,male,white,graduate,18,south,married,2,working full time,40,42727.5,working class,"independent, close to democrat",slightly liberal,biden,favor,favor,,pretty happy,good,exciting,,more or less satisfied,0,none,less than once a year,,,
2022,1563,48,male,white,associate/junior college,15,south,married,0,working part time,18,2215.5,middle class,"independent, close to republican",slightly conservative,,,oppose,should be legal,pretty happy,good,,can't be too careful,more or less satisfied,16,none,never,"don't know, no way to find out",yes,ancient book
2022,1564,49,male,white,high school,14,south,married,2,working full time,40,52222.5,middle class,not very strong republican,conservative,trump,,favor,,very happy,good,,,more or less satisfied,0,catholic,several times a year,no doubts,,
2022,1565,70,male,white,high school,12,south,married,1,retired,,,middle class,not very strong republican,conservative,trump,,favor,should not be legal,very happy,good,,most people can be trusted,pretty well satisfied,,protestant,about once or twice a year,believe with doubts,yes,inspired word
2022,1566,32,female,white,associate/junior college,14,south,married,0,working full time,40,88620,middle class,not very strong democrat,slightly liberal,biden,,oppose,should be legal,pretty happy,good,,most people can be trusted,more or less satisfied,3,none,never,higher power,yes,ancient book
2022,1567,60,female,white,bachelor's,16,south,divorced,2,working full time,40,52222.5,middle class,"independent, close to democrat","moderate, middle of the road",biden,favor,favor,should be legal,not too happy,good,routine,most people can be trusted,more or less satisfied,1,jewish,never,believe sometimes,yes,inspired word
2022,1568,66,male,white,associate/junior college,20,south,never married,0,retired,,,middle class,"independent (neither, no response)","moderate, middle of the road",biden,favor,,,not too happy,good,exciting,,more or less satisfied,,catholic,nearly every week,,,
2022,1569,37,female,white,bachelor's,17,south,married,1,working full time,50,163572.71343,middle class,strong democrat,extremely liberal,biden,favor,oppose,,pretty happy,good,exciting,,more or less satisfied,,none,never,"don't know, no way to find out",,
2022,1570,73,male,white,high school,12,south,never married,0,retired,,,working class,strong democrat,liberal,biden,,oppose,,pretty happy,good,,,pretty well satisfied,,catholic,never,no doubts,,
2022,1571,32,male,other,high school,12,west,separated,0,"with a job, but not at work because of temporary illness, vacation, strike",,,working class,"independent (neither, no response)","moderate, middle of the road",other candidate,favor,favor,should be legal,very happy,good,exciting,can't be too careful,more or less satisfied,1,none,never,higher power,yes,inspired word
2022,1572,31,female,white,high school,14,west,married,4,keeping house,,,middle class,"independent, close to republican",extremely conservative,trump,favor,favor,,very happy,excellent,routine,,pretty well satisfied,,protestant,every week,no doubts,,
2022,1573,53,female,white,associate/junior college,14,west,married,0,keeping house,,,working class,strong democrat,"moderate, middle of the road",biden,oppose,favor,,pretty happy,good,exciting,,more or less satisfied,,none,never,,,
2022,1574,70,male,other,associate/junior college,14,west,married,2,retired,,,middle class,"independent, close to democrat","moderate, middle of the road",,oppose,favor,,pretty happy,good,routine,,more or less satisfied,,catholic,2-3 times a month,,,
2022,1575,42,female,white,high school,13,west,married,2,working full time,40,52222.5,middle class,not very strong republican,slightly liberal,trump,,oppose,,pretty happy,excellent,,,more or less satisfied,1,protestant,every week,no doubts,,
2022,1576,54,female,white,graduate,16,west,married,2,working full time,40,63300,middle class,strong republican,slightly conservative,don't know,,oppose,,not too happy,excellent,,,more or less satisfied,0,catholic,every week,no doubts,,
2022,1577,,male,white,graduate,19,west,widowed,4,keeping house,,,middle class,other party,"moderate, middle of the road",biden,favor,oppose,,pretty happy,good,dull,,more or less satisfied,,protestant,nearly every week,,yes,inspired word
2022,1578,59,female,white,high school,13,west,married,2,working part time,28,17407.5,middle class,strong republican,conservative,trump,favor,favor,,very happy,excellent,exciting,,pretty well satisfied,0,protestant,about once or twice a year,,,
2022,1579,34,male,other,high school,14,west,married,2,working full time,40,13451.25,working class,not very strong democrat,liberal,biden,favor,favor,,very happy,good,exciting,,more or less satisfied,0,catholic,about once or twice a year,believe with doubts,,
2022,1580,18,female,white,high school,12,west,never married,0,in school,,,middle class,"independent (neither, no response)","moderate, middle of the road",,favor,oppose,,pretty happy,excellent,routine,,more or less satisfied,,protestant,nearly every week,no doubts,,
2022,1581,26,female,white,bachelor's,17,west,never married,0,working full time,40,28485,working class,"independent, close to democrat",slightly liberal,biden,,oppose,,pretty happy,good,,,not satisfied at all,25,none,never,higher power,,
2022,1582,22,male,white,high school,15,west,never married,0,in school,,17407.5,working class,"independent (neither, no response)","moderate, middle of the road",trump,oppose,favor,,pretty happy,good,exciting,,not satisfied at all,,none,never,,don't know,inspired word
2022,1583,60,male,white,associate/junior college,15,west,never married,0,other,,,middle class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,,pretty happy,good,exciting,,more or less satisfied,,none,less than once a year,,,
2022,1584,,female,white,high school,13,west,never married,0,working full time,42,,working class,not very strong republican,"moderate, middle of the road",biden,,favor,should be legal,pretty happy,excellent,,can't be too careful,pretty well satisfied,0,none,never,don't believe,no,ancient book
2022,1585,,female,black,less than high school,5,west,never married,0,other,,,don't know,strong republican,don't know,,favor,favor,should not be legal,pretty happy,fair,exciting,can't be too careful,more or less satisfied,,protestant,about once a month,no doubts,yes,word of god
2022,1586,,female,,high school,12,west,never married,3,keeping house,,,don't know,"independent (neither, no response)","moderate, middle of the road",,,,should be legal,not too happy,good,,can't be too careful,not satisfied at all,,none,never,,,
2022,1587,69,female,white,high school,15,west,widowed,2,retired,,,middle class,"independent (neither, no response)","moderate, middle of the road",other candidate,favor,favor,,pretty happy,good,routine,,more or less satisfied,,none,never,higher power,,
2022,1588,66,male,,high school,14,west,married,2,working full time,40,63300,working class,strong republican,slightly conservative,trump,oppose,favor,should not be legal,pretty happy,good,routine,most people can be trusted,more or less satisfied,0,catholic,several times a year,higher power,yes,inspired word
2022,1589,,male,white,associate/junior college,14,west,married,1,keeping house,,,middle class,"independent, close to democrat",liberal,,favor,oppose,,not too happy,poor,dull,,not satisfied at all,,protestant,never,,yes,inspired word
2022,1590,89,female,black,graduate,20,west,divorced,3,retired,,,middle class,,liberal,biden,,oppose,should not be legal,pretty happy,fair,,most people can be trusted,pretty well satisfied,,other,never,no doubts,yes,inspired word
2022,1591,62,female,black,high school,14,west,divorced,2,working full time,40,52222.5,middle class,"independent, close to democrat","moderate, middle of the road",biden,,oppose,,pretty happy,good,,,pretty well satisfied,0,none,less than once a year,no doubts,,
2022,1592,21,don't know,other,associate/junior college,14,west,never married,1,working part time,20,,middle class,strong democrat,slightly conservative,,oppose,oppose,,pretty happy,excellent,exciting,,more or less satisfied,0,catholic,nearly every week,no doubts,,
2022,1593,21,male,other,high school,15,west,never married,0,in school,,,working class,not very strong republican,slightly conservative,trump,favor,favor,,very happy,excellent,exciting,,not satisfied at all,,catholic,every week,,yes,inspired word
2022,1594,,male,white,high school,12,west,married,2,working part time,24,,middle class,not very strong republican,extremely conservative,trump,,oppose,should be legal,very happy,excellent,,most people can be trusted,more or less satisfied,,,every week,,yes,word of god
2022,1595,26,male,white,graduate,20,west,never married,0,working full time,40,42727.5,middle class,"independent, close to democrat",extremely liberal,biden,,oppose,,not too happy,fair,,,not satisfied at all,10,protestant,several times a year,believe with doubts,,
2022,1596,49,female,white,associate/junior college,14,west,married,2,working part time,6,1266,middle class,"independent, close to republican",conservative,trump,favor,favor,,pretty happy,good,routine,,pretty well satisfied,3,christian,every week,,,
2022,1597,22,female,white,high school,13,west,married,0,working full time,40,28485,middle class,not very strong democrat,liberal,biden,favor,favor,should be legal,pretty happy,good,routine,can't be too careful,more or less satisfied,0,none,never,don't believe,no,ancient book
2022,1598,35,male,white,high school,14,west,never married,0,working full time,40,63300,middle class,strong democrat,liberal,biden,favor,oppose,,pretty happy,good,routine,,pretty well satisfied,0,none,about once or twice a year,don't believe,,
2022,1599,,male,white,high school,12,west,married,2,working full time,45,163572.71343,middle class,strong republican,extremely conservative,trump,,favor,,very happy,excellent,,,more or less satisfied,0,catholic,about once a month,no doubts,,
2022,1600,51,female,white,bachelor's,17,west,divorced,2,working part time,32,163572.71343,middle class,"independent, close to republican","moderate, middle of the road",trump,favor,oppose,,pretty happy,excellent,routine,,more or less satisfied,0,catholic,about once or twice a year,,,
2022,1601,19,male,white,associate/junior college,13,west,never married,0,in school,,,middle class,"independent, close to democrat",liberal,,favor,oppose,should be legal,pretty happy,excellent,exciting,can't be too careful,pretty well satisfied,,none,less than once a year,don't believe,no,ancient book
2022,1602,37,male,white,high school,12,west,divorced,2,working full time,40,15033.75,middle class,"independent, close to republican",conservative,trump,,oppose,should not be legal,pretty happy,good,,most people can be trusted,pretty well satisfied,0,protestant,every week,no doubts,yes,inspired word
2022,1603,23,don't know,other,less than high school,,west,never married,0,working full time,40,,working class,"independent (neither, no response)",liberal,,favor,oppose,,pretty happy,excellent,exciting,,more or less satisfied,,none,never,don't believe,,
2022,1604,72,female,white,bachelor's,16,west,divorced,6,keeping house,,,middle class,not very strong republican,slightly conservative,trump,oppose,favor,don't know,pretty happy,good,exciting,most people can be trusted,more or less satisfied,,protestant,every week,no doubts,yes,inspired word
2022,1605,28,female,white,high school,12,northeast,never married,2,"unemployed, laid off, looking for work",,,working class,"independent (neither, no response)","moderate, middle of the road",,,favor,,pretty happy,good,,,not satisfied at all,,none,never,believe with doubts,,
2022,1606,55,female,white,graduate,20,northeast,married,1,working full time,60,63300,middle class,strong republican,extremely conservative,trump,favor,favor,should not be legal,pretty happy,good,exciting,most people can be trusted,pretty well satisfied,0,catholic,every week,no doubts,yes,word of god
2022,1607,27,female,white,bachelor's,17,northeast,never married,0,working full time,40,,middle class,"independent, close to republican",slightly conservative,trump,favor,oppose,,pretty happy,good,exciting,,more or less satisfied,1,protestant,several times a year,,yes,word of god
2022,1608,57,female,black,high school,14,northeast,divorced,4,working full time,40,34815,working class,not very strong democrat,liberal,biden,,oppose,,pretty happy,good,,,not satisfied at all,0,protestant,nearly every week,no doubts,,
2022,1609,49,male,black,bachelor's,16,northeast,married,3,working full time,40,75960,middle class,strong republican,extremely conservative,trump,,favor,should not be legal,very happy,excellent,,can't be too careful,pretty well satisfied,0,protestant,every week,no doubts,yes,word of god
2022,1610,72,female,white,high school,12,northeast,widowed,2,keeping house,,316.5,middle class,not very strong republican,"moderate, middle of the road",trump,,favor,should not be legal,not too happy,fair,,can't be too careful,pretty well satisfied,,protestant,several times a week,no doubts,yes,inspired word
2022,1611,75,female,white,high school,12,northeast,married,2,retired,,,middle class,strong democrat,"moderate, middle of the road",biden,,favor,should not be legal,pretty happy,fair,,most people can be trusted,not satisfied at all,,none,never,"don't know, no way to find out",no,ancient book
2022,1612,52,male,black,high school,12,northeast,married,3,working full time,80,42727.5,working class,other party,slightly liberal,,,favor,should be legal,pretty happy,fair,,can't be too careful,not satisfied at all,0,none,never,believe sometimes,yes,ancient book
2022,1613,35,male,black,high school,14,northeast,married,3,working full time,75,52222.5,working class,other party,"moderate, middle of the road",biden,favor,oppose,,pretty happy,good,exciting,,pretty well satisfied,10,none,about once or twice a year,,yes,ancient book
2022,1614,51,male,white,graduate,20,northeast,divorced,2,working part time,15,52222.5,middle class,not very strong republican,slightly conservative,trump,oppose,oppose,,pretty happy,good,exciting,,more or less satisfied,0,catholic,several times a year,believe sometimes,,
2022,1615,31,male,white,bachelor's,18,northeast,married,0,"unemployed, laid off, looking for work",,,middle class,"independent (neither, no response)",extremely liberal,biden,oppose,don't know,should be legal,very happy,excellent,exciting,most people can be trusted,pretty well satisfied,,none,less than once a year,don't believe,no,ancient book
2022,1616,57,male,white,high school,12,northeast,married,2,working full time,40,42727.5,lower class,strong democrat,"moderate, middle of the road",biden,favor,favor,,pretty happy,good,routine,,more or less satisfied,0,catholic,never,,no,word of god
2022,1617,29,female,black,graduate,18,northeast,never married,3,working full time,40,42727.5,middle class,"independent, close to democrat",slightly liberal,biden,favor,favor,,very happy,excellent,exciting,,pretty well satisfied,0,protestant,about once or twice a year,,,
2022,1618,26,male,black,high school,12,northeast,never married,1,"unemployed, laid off, looking for work",,,lower class,strong democrat,liberal,,favor,oppose,,not too happy,good,routine,,not satisfied at all,,protestant,about once or twice a year,,no,inspired word
2022,1619,,male,black,high school,16,northeast,separated,2,in school,,42727.5,working class,not very strong republican,slightly conservative,,,don't know,should be legal,pretty happy,good,,can't be too careful,not satisfied at all,,none,about once or twice a year,believe sometimes,yes,ancient book
2022,1620,21,female,black,high school,12,northeast,never married,0,"unemployed, laid off, looking for work",,20572.5,working class,strong democrat,"moderate, middle of the road",,favor,don't know,should be legal,pretty happy,excellent,dull,can't be too careful,not satisfied at all,,christian,less than once a year,believe sometimes,yes,inspired word
2022,1621,65,male,black,high school,14,northeast,never married,0,retired,,,working class,"independent (neither, no response)","moderate, middle of the road",biden,favor,favor,,pretty happy,fair,exciting,,more or less satisfied,,protestant,several times a week,,,
2022,1622,76,female,white,high school,12,northeast,divorced,3,"unemployed, laid off, looking for work",,,middle class,not very strong democrat,"moderate, middle of the road",,favor,oppose,,not too happy,good,routine,,pretty well satisfied,,protestant,less than once a year,,don't know,inspired word
2022,1623,33,male,white,high school,10,northeast,never married,3,"unemployed, laid off, looking for work",,,working class,"independent (neither, no response)",slightly conservative,,favor,favor,,pretty happy,good,routine,,not satisfied at all,,protestant,never,,yes,inspired word
2022,1624,,,other,less than high school,2,northeast,separated,7,in school,,,lower class,"independent, close to democrat",slightly liberal,,oppose,favor,,,excellent,routine,,more or less satisfied,,hinduism,about once a month,higher power,,
2022,1625,30,male,white,high school,12,northeast,married,2,working full time,40,63300,working class,strong republican,conservative,,oppose,favor,,pretty happy,fair,routine,,more or less satisfied,8,protestant,2-3 times a month,no doubts,,
2022,1626,45,female,white,high school,14,northeast,married,3,other,,,working class,"independent (neither, no response)","moderate, middle of the road",,oppose,oppose,,pretty happy,poor,routine,,pretty well satisfied,,none,about once or twice a year,higher power,,
2022,1627,71,female,black,bachelor's,16,northeast,married,2,retired,,,middle class,strong democrat,"moderate, middle of the road",biden,favor,oppose,should be legal,pretty happy,good,exciting,most people can be trusted,pretty well satisfied,,catholic,every week,believe with doubts,yes,word of god
2022,1628,66,female,white,high school,12,northeast,married,2,retired,,,lower class,,"moderate, middle of the road",,favor,favor,,pretty happy,good,routine,,not satisfied at all,,protestant,2-3 times a month,,yes,inspired word
2022,1629,67,male,white,high school,12,northeast,married,2,retired,,,working class,strong republican,extremely conservative,trump,,favor,,not too happy,fair,,,more or less satisfied,,protestant,every week,no doubts,,
2022,1630,42,female,white,bachelor's,19,northeast,married,4,working part time,20,,middle class,strong republican,conservative,trump,oppose,oppose,,pretty happy,good,routine,,more or less satisfied,5,protestant,2-3 times a month,no doubts,,
2022,1631,73,male,white,high school,12,northeast,married,4,retired,,2215.5,working class,"independent, close to republican",conservative,trump,favor,favor,should not be legal,very happy,fair,exciting,can't be too careful,not satisfied at all,,protestant,every week,no doubts,yes,word of god
2022,1632,44,female,white,graduate,18,northeast,never married,0,working full time,40,20572.5,working class,not very strong democrat,slightly liberal,trump,favor,favor,,pretty happy,good,routine,,not satisfied at all,5,protestant,nearly every week,,,
2022,1633,63,male,white,high school,12,northeast,married,3,working full time,40,52222.5,working class,not very strong democrat,"moderate, middle of the road",biden,favor,favor,,pretty happy,fair,routine,,not satisfied at all,10,catholic,less than once a year,no doubts,,
2022,1634,51,male,black,associate/junior college,14,northeast,married,2,working full time,80,15033.75,working class,strong democrat,"moderate, middle of the road",biden,favor,oppose,don't know,very happy,good,exciting,most people can be trusted,not satisfied at all,0,protestant,nearly every week,no doubts,yes,word of god
2022,1635,34,female,white,less than high school,11,northeast,married,6,working full time,40,316.5,working class,"independent, close to republican",extremely liberal,,favor,favor,should be legal,pretty happy,good,exciting,can't be too careful,not satisfied at all,20,protestant,less than once a year,no doubts,yes,word of god
2022,1636,67,female,white,high school,12,northeast,divorced,1,"with a job, but not at work because of temporary illness, vacation, strike",,10286.25,working class,not very strong democrat,"moderate, middle of the road",biden,favor,oppose,,not too happy,poor,routine,,not satisfied at all,30,protestant,never,,,
2022,1637,26,female,black,less than high school,11,northeast,never married,0,in school,,,middle class,not very strong democrat,"moderate, middle of the road",biden,,favor,should be legal,pretty happy,fair,,can't be too careful,more or less satisfied,,protestant,never,believe sometimes,yes,inspired word
2022,1638,30,male,black,high school,14,northeast,never married,3,working full time,40,28485,lower class,not very strong democrat,slightly conservative,biden,favor,oppose,,pretty happy,good,exciting,,not satisfied at all,,protestant,less than once a year,,no,ancient book
2022,1639,38,male,white,bachelor's,18,northeast,never married,1,working full time,40,34815,working class,strong republican,conservative,trump,oppose,favor,,not too happy,good,routine,,not satisfied at all,30,protestant,about once or twice a year,,yes,inspired word
2022,1640,62,female,white,high school,12,northeast,never married,2,other,,,working class,"independent (neither, no response)","moderate, middle of the road",trump,favor,favor,should not be legal,not too happy,fair,routine,can't be too careful,not satisfied at all,,protestant,about once or twice a year,no doubts,yes,word of god
2022,1641,30,female,white,bachelor's,16,northeast,never married,0,working full time,40,20572.5,working class,not very strong democrat,slightly liberal,biden,,favor,,pretty happy,good,,,more or less satisfied,10,protestant,never,believe sometimes,,
